y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
-0.319,-0.127,-1.037,-0.774,-0.004,-0.889,-1.645,0.949,1.694,-0.748,0.827,0.84,-1.471,1.529,4.027,1.204,0.518,5.843,0.543,0.137,1.928,-1.722,0.322,-0.616,1.339,-0.414,1.818,-0.325,-3.105,-0.537,0.53,-0.22,0.52,0.711,0.272,0.441,1.191
-0.15,0.841,0.449,0.574,0.762,0.741,-0.511,0.062,1.318,1.177,-0.842,-0.953,-0.824,0.603,-0.106,0.264,0.605,-2.714,0.646,-0.236,-1.133,-0.216,-0.014,-0.242,-0.227,0.86,-0.279,0.088,1.367,-2.066,-0.651,-0.75,0.483,-0.142,2.579,0.31,-2.223
2.058,-0.059,0.634,1.378,-0.082,0.982,1.101,0.23,2.083,2.183,1.806,1.659,1.844,0.134,2.491,1.065,0.452,-4.052,3.248,-0.046,0.03,1.216,1.933,-0.028,-0.525,0.667,0.769,3.42,1.717,-0.023,1.205,1.56,0.399,0.672,-0.839,0.826,0.052
0.754,0.17,1.765,0.274,-0.385,-0.003,0.762,0.418,2.329,-0.518,0.437,0.138,-0.028,0.97,1.379,2.683,0.368,-1.072,2.625,-0.095,2.255,2.839,1.33,-0.373,2.282,0.599,0.081,1.131,2.424,1.632,2.191,1.581,2.452,0.585,1.266,1.289,0.81
-0.06,0.008,1.756,1.32,0.931,2.094,0.244,-0.078,-0.504,-1.968,-0.783,0.097,0.344,2.539,0.715,1.549,1.62,3.115,1.84,0.243,2.738,2.021,2.728,1.908,0.07,2.499,0.997,2.768,1.232,2.09,1.369,0.68,0.984,0.676,1.16,0.856,1.012
0.656,1.298,0.348,-0.511,0.876,0.618,0.579,0.267,2.887,0.834,0.194,-0.302,-1.451,1.399,-1.276,-1.137,-0.304,-0.702,-0.937,0.188,0.422,0.015,2.444,2.736,0.252,2.666,1.475,0.746,0.458,1.136,-0.741,0.599,0.336,0.359,1.09,2.11,0.182
-0.336,-0.6,0.036,-0.488,-0.617,0.673,-0.172,1.699,0.177,1.342,0.664,-1.49,-1.385,0.67,-1.04,-1.427,-0.665,1.708,-2.869,0.03,0.355,1.12,1.036,-1.452,2.44,0.128,2.143,2.325,0.049,0.564,-0.719,1.462,-0.589,1.162,1.497,0.55,-0.43
1.011,-0.094,-0.128,0.284,1.39,-0.163,0.006,-0.851,1.943,-0.647,-0.487,0.649,-1.681,-0.467,2.724,0.19,0.432,2.821,-1.39,0.023,-1.425,1.756,0.143,0.111,0.216,0.377,1.744,2.021,0.263,1.801,0.486,-0.545,-0.533,-0.149,-0.144,-0.103,0.493
-0.182,0.039,-0.283,-0.512,-0.872,-0.65,0.485,-1.231,-1.971,0.936,-0.749,-1.812,-0.138,-1.548,0.646,-0.769,0.63,5.73,4.166,0.202,0.812,-1.785,-1.057,-0.014,-0.128,-2.299,0.027,-0.778,0.615,-2.827,-1.479,0.832,-0.736,-0.856,-0.351,-2.33,-1.208
2.235,-0.256,0.084,0.279,-0.294,0.465,-0.185,2.771,1.512,-0.254,0.573,0.236,-0.492,0.659,0.772,7.017,0.89,4.133,2.877,0.318,-0.161,0.018,-0.058,0.736,-0.416,-0.546,-1.082,0.674,-0.167,0.248,-0.17,1.754,1.766,-0.095,1.033,0.51,0.685
-0.887,0.124,1.398,0.727,1.334,1.547,0.904,4.656,3.229,2.08,0.899,-0.211,-0.146,-0.627,-1.281,-0.513,1.058,7.152,-0.578,0.224,1.332,-1.633,1.379,0.274,-0.965,1.097,0.965,0.049,0.861,0.339,0.508,-0.434,0.529,-0.169,0.411,1.977,0.476
0.98,1.219,2.445,0.81,0.153,1.034,1.095,2.391,2.635,1.432,1.157,0.805,-1.147,-0.417,1.124,2.42,1.367,-1.088,5.145,0.036,1.267,0.27,0.158,0.718,-0.205,0.078,1.551,0.028,-0.424,-0.21,-2.127,-1.044,1.252,0.25,0.578,1.27,-0.643
-0.965,-1.185,0.099,-0.909,-0.711,-1.89,-0.507,0.515,0.167,-0.672,-0.332,0.02,-0.488,-0.299,4.994,-0.268,-0.251,-3.311,-4.375,-0.15,-1.517,-1.54,-0.521,0.165,-0.859,-2.459,-2.709,-1.917,-2.048,-1.502,0.654,-0.583,-1.996,-2.473,-1.858,-3.193,-3.565
-2.121,-1.796,-1.663,-0.288,-0.37,-0.148,-0.249,-2.579,-1.645,-2.165,-1.053,-0.108,0.012,-1.195,-2.752,1.38,-1.03,-3.511,-6.02,-0.185,-2.973,-1.227,-2.205,-0.669,-0.33,1.28,-0.737,-1.953,-1.693,-0.684,0.193,-1.01,-2.058,0.601,-1.206,-1.894,-2.587
2.373,1.123,1.16,0.31,1.276,0.422,1.447,0.328,0.777,0.713,0.409,0.823,1.081,2.032,3.576,-0.527,0.566,2.347,5.44,0.259,-1.1,0.179,-0.497,-1.819,-0.033,-0.031,0.596,0.835,-0.113,0.394,-1.702,0.701,1.204,0.844,-0.205,0.257,2.426
1.374,0.386,0.892,0.913,-0.03,1.398,2.651,1.976,1.859,1.179,0.91,-0.068,-1.449,0.917,0.775,-0.872,0.649,-2.275,2.978,-0.052,1.716,-1.352,1.588,-0.012,0.203,-0.916,0.242,2.1,0.715,0.666,-1.315,1.626,0.443,0.798,0.179,1.796,0.119
-0.239,-1.198,-1.451,1.119,-0.925,0.197,-1.057,-1.545,-3.03,-0.08,1.284,2.026,-0.482,-0.268,1.261,0.312,-0.795,-1.477,-0.432,0.235,0.355,1.654,0.287,1.628,0.181,1.363,0.787,1.404,0.014,0.016,0.073,0.685,0.232,0.875,1.017,-0.429,-0.381
-0.333,0.432,1.203,-0.479,0.532,-0.269,1.048,1.661,0.111,-0.614,-1.746,-0.221,-0.858,-0.553,-2.099,-1.192,-0.239,-4.927,-2.313,-0.172,-0.22,-0.721,-0.245,-0.274,0.254,1.026,-0.407,1.016,1.166,1.474,1.134,0.547,-0.395,0.21,0.365,-0.321,1.831
0.522,0.353,1.434,0.991,0.974,-1.033,1.19,1.304,0.007,1.24,0.433,-0.561,0.023,2.168,-0.272,-1.593,0.067,-0.678,-0.824,0.236,1.913,0.045,2.093,-0.194,-0.375,1.678,-0.68,-1.245,-0.885,-0.477,-0.121,-0.429,2.297,0.855,0.685,1.839,2.55
-0.091,-0.496,-1.425,0.599,-0.822,-0.288,0.54,-1.052,0.958,-0.834,-0.296,-0.419,-1.786,1.42,-0.689,3.255,-0.056,-1.766,2.572,0.095,0.88,-0.355,0.161,0.236,1.382,1.606,-1.458,-0.789,3.397,0.29,-0.012,0.241,0.693,-0.065,0.951,1.781,0.298
-1.781,-1.159,-0.434,-0.979,0.081,-0.166,1.329,-1.026,-1.518,-1.299,-1.519,-1.004,-1.535,-1.327,-0.335,-1.142,0.275,-0.226,-4.761,0.016,-0.579,0.525,-0.196,-0.637,-0.65,-0.194,0.147,-1.669,-0.537,0.009,-1.843,0.049,-0.034,-0.692,0.113,0.282,-0.474
-0.469,-0.544,-1.103,-1.206,-1.716,-1.054,-2.848,-0.75,-0.437,-2.661,-1.397,-1.891,-0.725,-2.444,-3.347,-1.332,-0.314,0.595,-4.636,-0.083,0.964,-4.484,-3.397,0.831,-1.464,-2.693,-2.719,-3.987,-0.976,-3.444,-2.886,-1.843,-2.019,-0.41,-2.025,-2.347,-0.08
2.304,0.535,0.626,-0.031,-0.231,1.821,-0.836,0.147,1.84,1.076,-0.835,0.04,0.143,-0.403,-2.242,0.355,0.407,3.195,1.348,-0.042,-0.475,0.488,-0.117,2.058,-0.186,-0.45,0.758,-0.999,1.564,-0.949,1.817,1.786,1.041,-0.176,-0.525,2.055,0.232
0.208,2.023,-1.251,-1.366,0.092,-1.665,-0.644,-2.299,-0.112,-0.749,0.202,-1.025,-0.671,-1.876,1.636,2.83,0.841,-0.552,-2.667,-0.052,-0.177,0.145,1.206,0.609,0.237,0.096,0.086,-0.017,1.267,0.982,0.746,1.431,0.999,0.237,1.017,0.405,-0.214
1.094,-0.401,0.212,0.836,1.478,1.46,1.621,0.834,-1.361,0.454,2.165,1.81,1.871,2.522,3.769,-1.046,-0.512,0.323,1.74,-0.168,-0.215,0.47,0.495,-0.468,0.335,0.737,-2.308,1.532,2.537,2.249,0.853,3.656,1.295,1.084,-0.136,1.89,1.906
1.999,-0.04,-1.048,-0.057,0.377,-1.206,0.113,1.168,2.098,0.278,-1.27,-1.861,-0.188,1.272,1.449,1.67,0.18,3.667,4.428,0.044,0.178,0.549,0.882,1.615,-1.045,-1.65,1.23,1.613,-1.998,-1.151,-0.706,-2.058,0.015,1.316,1.149,-0.422,0.083
0.679,0.843,0.73,0.469,0.84,0.085,0.67,0.93,0.894,1.584,0.605,0.331,0.578,-0.761,2.498,3.071,0.546,6.986,-1.552,0.183,1.617,1.013,1.045,-1.877,0.354,1.543,-0.803,0.082,-0.748,1.446,-0.856,-0.214,0.572,2.362,1.199,1.44,1.778
1.656,2.195,1.578,0.103,1.473,1.926,1.64,1.173,2.142,1.237,0.775,1.004,-0.786,2.049,0.519,2.497,0.535,-1.278,0.986,0.301,0.936,-1.022,0.473,-1.838,0.93,-0.284,-1.065,-0.425,2.151,1.201,2.041,0.155,0.635,-0.09,3.115,-0.198,1.551
-0.064,0.702,0.397,0.247,0.081,-0.225,0.939,0.56,-1.429,-0.016,1.505,0.63,2.02,1.834,3.109,-0.811,0.201,2.354,1.975,0.135,2.421,1.817,0.78,-0.112,1.252,1.281,-0.674,0.223,0.925,1.97,-0.642,0.86,-0.219,0.625,-0.491,0.833,-0.048
-1.128,-0.339,1.094,0.741,0.017,0.026,0.373,1.139,-1.415,-1.247,0.632,0.135,0.318,1.227,3.494,3.849,1.424,2.107,-0.71,0.134,2.673,-0.228,1.818,0.433,1.696,2.887,1.863,1.054,0.324,1.375,-0.053,0.809,1.155,0.289,-0.238,0.262,0.103
0.719,-0.352,1.263,0.731,0.124,0.832,-0.24,1.24,0.48,0.893,0.003,1.747,1.639,0.716,-1.562,3.321,0.275,-1.482,-3.98,-0.319,0.183,0.566,0.77,0.088,-0.657,-0.274,0.183,0.142,1.309,-1.127,-0.702,-0.391,1.282,0.27,-0.599,-0.424,2.177
-1.238,-0.77,-2.264,-1.774,-2.11,-1.978,-2.523,-3.72,-2.884,-2.436,-2.256,-1.335,-3.341,-1.81,-3.17,-3.5,-0.971,-5.458,-2.543,-0.307,0.168,-1.365,-1.687,-0.431,-1.199,-0.202,0.855,-1.253,-2.157,0.376,0.161,-1.215,-0.868,-0.654,-2.297,-0.573,-1.421
-1.648,-1.595,-3.962,-2.813,-0.953,-1.858,-2.01,-1.837,-2.667,-1.317,-0.193,-0.422,-0.369,-0.501,-1.138,-1.81,-0.628,2.846,-4.048,-0.237,-1.462,-1.35,-1.626,1.412,-1.018,-0.479,0.868,-1.716,-3.625,-1.711,-1.641,-0.969,-1.023,-0.948,-1.972,-1.182,-0.365
-1.215,-1.788,-0.173,-1.293,-1.07,-1.089,-0.893,-1.686,-2.726,-0.251,-1.435,-1.017,0.071,-1.295,-0.975,-4.97,-1.067,-4.344,-2.045,-0.219,-0.71,-0.84,-0.151,-1.915,-1.798,-0.509,-0.227,-1.276,-2.242,-0.306,-1.395,-0.545,-1.528,-0.67,0.105,0.055,-2.361
-2.814,-1.315,-1.915,-1.638,-1.21,-1.261,-1.227,-4.297,-2.652,-1.9,0.504,0.196,0.205,-0.269,0.673,-1.907,0.017,-2.139,3.044,-0.134,0.129,-1.189,-1.148,0.395,-0.972,-0.454,-1.385,-2.636,-2.123,-2.956,-1.769,-0.281,-2.142,-0.939,-0.906,-2.287,0.373
-0.162,-0.024,-0.757,0.74,-0.624,0.367,-0.379,-1.453,0.03,-1.646,-1.522,0.753,-0.319,1.424,0.105,-0.389,0.223,1.025,-3.411,0.147,0.21,-1.056,-0.498,-0.999,0.187,1.793,0.139,-0.922,0.833,-2.8,-0.132,-2.167,0.221,1.324,-0.244,-0.125,-1.049
-0.078,1.377,0.143,0.531,-0.799,-0.218,0.839,1.637,0.927,-0.693,1.106,-0.487,0.335,-0.631,0.712,5.367,0.128,-0.902,1.858,0.046,1.001,2.278,1.557,0.139,-0.308,0.625,1.687,-0.987,0.192,0.243,0.898,0.977,0.395,1.135,0.751,0.253,0.907
0.279,-0.301,0.855,-0.22,-0.109,-0.303,-0.76,-2.527,-1.659,-1.529,0.992,-1.702,0.817,0.471,2.548,-2.74,1.048,1.417,2.197,0.008,-0.11,1.147,0.085,0.487,0.469,-0.674,0.493,1.729,0.041,-0.586,-0.278,-0.441,0.147,-0.86,-0.7,-1.691,-0.579
-0.058,-0.746,-0.845,-1.305,0.084,0.445,-2.053,-2.538,-0.056,-0.02,-0.287,-0.329,-1.144,-1.839,0.313,-0.532,0.652,-2.52,-1.179,-0.003,-0.355,0.011,-0.729,-0.456,0.613,-0.309,1.764,-0.157,-2.015,-1.257,-0.774,-0.27,-0.484,0.189,-0.776,1.68,-0.093
0.765,0.263,1.847,0.033,0.226,1.567,0.583,1.919,0.303,0.846,1.873,1.645,-0.009,-0.457,1.849,3.143,1.251,1.657,1.844,0.366,2.245,1.922,1.306,1.636,0.669,1.471,-0.715,-0.69,0.485,-1.23,0.614,-0.199,0.913,1.024,2.778,0.819,2.122
-0.114,-1.527,0.094,-0.828,-0.357,-0.824,-1.227,0.121,-0.925,-1.859,-0.016,0.803,0.985,0.544,1.951,1.603,-0.1,-1.014,2.495,-0.188,0.694,0.474,-0.761,-1.3,0.055,-0.471,-1.252,-1.131,-1.064,-0.574,0.519,-1.761,-0.661,-1.439,-0.749,-1.018,-0.932
-2.009,-2.009,-2.929,-3.115,-1.247,-1.379,-2.439,-3.475,-3.907,-0.77,-1.01,-0.443,-1.827,-1.834,-1.65,-1.112,-0.221,2.727,-8.612,-0.172,-0.774,-1.807,-1.824,-0.907,0.346,-3.766,-0.344,-4.172,-0.083,-2.653,-0.493,-1.065,-1.774,-0.13,-1.011,-1.193,-1.157
1.685,1.086,1.443,2.27,1.193,2.336,1.337,2.499,-0.047,1.374,1.368,3.25,2.049,3.239,3.012,3.746,1.019,4.949,4.258,0.179,2.445,0.689,4.145,1.709,2.065,-0.485,2.013,3.434,4.938,1.788,1.005,0.95,1.873,1.344,2.572,0.741,1.802
-0.549,-0.953,-0.632,-0.147,0.149,-0.377,0.472,1.494,-0.621,-1.35,-0.986,-1.725,-0.223,-1.918,-1.851,-3.864,-0.663,-4.238,-2.517,-0.369,-0.435,-0.862,-1.518,-1.257,-2.156,-1.707,-1.957,-0.837,-2.358,0.038,-1.402,-1.318,-1.119,-1.1,-0.618,-1.548,-1.665
1.505,0.897,1.186,1.336,0.001,1.137,1.538,1.485,1.734,0.118,1.231,2.61,1.347,1.513,4.248,2.282,0.333,4.638,7.637,0.409,1.849,-0.202,0.268,-1.11,-0.622,-1.491,-0.201,0.189,0.701,0.256,0.148,0.427,0.54,-0.27,-0.048,-0.359,0.703
-0.087,1.929,-0.141,0.823,0.672,1.019,1.008,1.348,0.757,-0.006,1.383,2.182,2.185,3.502,2.102,-0.419,0.302,-0.546,-0.76,0.049,0.553,-0.357,-0.487,0.2,-1.486,1.034,-0.827,1.714,2.155,0.93,0.08,-0.443,0.169,-0.447,0.258,-0.149,-0.051
0.111,-1.594,-1.084,-0.231,-2.061,-1.671,-0.682,-0.219,-0.298,-0.961,-0.231,-1.253,-1.428,-1.015,-1.383,-3.129,-0.776,-3.942,-5.072,-0.4,-0.254,-3.187,-1.671,0.57,-2.526,-2.683,0.3,-2.358,-3.179,-3.236,-1.776,-2.389,-1.824,-1.504,-0.69,-1.112,-1.992
0.207,0.155,-0.261,0.664,0.87,0.783,-0.353,1.878,2.549,0.01,1.081,1.855,1.312,2.453,-1.609,2.473,0.037,0.024,-4.519,-0.155,0.998,2.306,0.782,-0.109,0.091,0.116,-0.867,-0.354,-1.628,-1.565,-0.448,-0.774,-0.288,-1.058,-1.284,-0.341,-1.733
-0.441,0.003,-1.288,0.253,-1.155,-2.091,-1.694,-0.821,1.557,-0.063,-0.689,-2.729,-2.192,-2.751,-3.329,-7.237,-1.506,-3.86,-3.456,0.03,-0.809,-1.355,-2.53,-0.084,-1.94,-1.863,-0.839,-0.761,-2.944,0.294,0.025,-0.762,-2.226,-1.65,-1.12,-1.92,-0.297
-0.616,2.117,1.92,-0.341,0.717,1.307,1.775,0.951,1.161,0.547,-0.496,0.576,-0.236,1.038,2.115,3.516,1.279,4.733,1.934,0.184,-0.019,-0.367,1.566,0.509,0.318,0.232,-0.173,1.124,-0.043,-2.058,-0.632,1.075,2.097,1.904,-0.153,-0.321,0.688
-1.538,-1.089,-1.939,-1.957,-1.101,-1.663,-1.725,-1.159,0.619,-1.617,-2.1,-2.399,-2.493,-0.975,-2.89,-3.294,-1.448,-6.026,-10.498,-0.361,-0.223,-0.528,-2.722,-0.296,-2.66,-0.916,-0.199,-0.816,1.442,-0.726,-0.584,-1.017,-2.247,-1.611,-3.244,-0.937,-4.658
-1.57,0.198,-2.084,0.825,-0.339,-0.361,-1.263,-2.658,1.156,-1.962,-1.66,-2.148,-1.815,-1.81,-2.692,-5.301,-0.369,-2.244,-2.258,-0.293,-2.165,-2.17,-1.666,-2.659,-1.369,-0.588,-2.56,0.321,-0.886,0.061,-2.097,0.302,-1.175,-1.064,-0.934,-2.547,-0.84
0.393,1.58,-0.599,-0.207,-0.977,-0.272,0.92,0.996,-0.517,-0.359,0.211,1.241,0.957,2.023,1.202,1.676,-0.276,6.188,4.718,-0.21,1.362,-0.282,0.659,1.047,-0.75,-0.295,0.477,-0.551,0.232,1.502,0.146,-0.508,-1.112,0.257,1.442,0.531,0.019
-0.416,-0.791,0.452,-0.213,-0.228,-0.446,-0.6,-3.31,1.471,-0.805,-0.376,1.38,-0.55,-1.129,1.457,-1.455,-0.929,-2.405,-1.566,0,0.338,-0.137,1.463,0.994,2.706,-1.178,0.894,-3.108,-0.837,-1.171,-1.82,0.199,1.813,-0.07,-0.134,0.578,0.093
0.553,-0.797,0.037,-0.181,-0.062,0.389,-0.762,-0.556,-2.378,2.173,0.956,0.96,-1.241,-0.951,0.348,0.803,-0.352,-0.303,-4.398,-0.294,0.809,0.109,0.967,0.125,0.11,0.71,0.542,0.094,2.159,1.855,-0.003,0.801,0.023,0.53,0.87,-0.079,-0.263
-2.021,-1.19,-2.846,-1.39,-0.892,-0.894,-0.722,-1.139,1.301,-1.467,-1.253,0.544,-0.395,-0.026,-0.845,-4.981,-0.309,-4.431,-3.626,-0.126,0.864,-1.413,-1.448,0.427,-1.164,0.378,-0.848,1.292,-1.792,-1.017,-1.223,-0.839,-1.95,-0.662,-2.159,-2.904,-1.133
-1.312,-1.232,-1.158,-1.696,-1.024,-1.243,-0.141,-0.447,-1.736,-0.429,-1.285,-1.776,-0.53,-1.412,-2.174,-1.181,-0.046,-0.759,-5.162,-0.169,-1.107,-2.729,-0.612,-1.857,-2.226,-1.841,-2.007,-0.946,-1.297,-1.314,-1.738,0.12,-0.07,-1.008,-0.702,-0.08,-1.713
-0.81,0.507,0.645,1.465,0.451,0.032,0.56,0.061,1.787,2.23,0.084,0.781,-0.482,0.547,-1.36,0.663,0.82,0.37,-3.391,0.375,-0.119,-0.795,0.132,0.155,0.723,-1.608,1.065,-0.734,-0.666,-0.814,-1.072,-2.474,-0.539,0.329,0.862,-0.075,1.177
-0.335,-0.87,-1.73,-0.917,-0.612,-0.807,-0.427,-2.831,-2.131,-1.444,1.215,0.834,0.768,-0.236,-0.772,-0.487,0.934,5,-4.821,0.12,-0.441,-0.614,0.06,1.041,0.08,-0.053,1.238,0.316,-0.713,-0.332,-0.666,-0.951,0.463,-0.875,-1.626,0.436,-0.006
0.893,0.044,0.827,1.123,0.76,0.753,1.985,0.914,0.84,1.211,1.176,2.401,2.24,1.559,0.706,-0.199,-0.481,3.122,2.047,-0.082,1.063,1.152,1.94,-0.806,1.981,-0.012,-0.156,0.614,3.222,0.752,0.94,1.185,1.536,0.728,0.336,-0.119,0.705
1.036,-0.178,0.94,0.727,0.506,-0.355,0.039,1.059,0.478,0.69,0.949,0.363,0.679,-0.556,-0.584,-2.45,-0.075,-1.854,-1.642,-0.109,-0.522,-0.201,-0.97,-0.232,0.394,1.445,1.267,0.461,0.06,0.18,-0.548,-0.399,0.772,-0.162,0.109,-0.426,1.58
-0.787,0.264,-0.535,-0.705,0.745,-0.535,-0.533,-1.468,0.428,0.501,-0.283,0.03,-0.63,-1.006,-2.283,0.329,0.21,2.077,8.41,0.177,-0.545,2.399,-0.112,1.143,1.466,-1.581,0.462,1.912,-0.372,-0.405,-1.767,-0.052,-0.754,0.537,0.026,0.804,-1.613
1.596,1.265,3.247,0.578,1.083,1.348,0.5,1.155,-0.259,2.395,0.174,0.96,0.511,2.303,-0.834,1.884,0.51,-0.406,3.053,-0.005,0.183,0.641,1.169,1.269,1.672,1.145,1.634,0.764,-0.421,2.28,1.511,-0.316,2.387,1.283,1.699,3.514,2.777
-0.744,-1.032,-2.285,-2.759,-1.865,-3.173,-0.55,-2.748,-0.779,-0.34,-1.216,-2.016,-0.893,-2.026,-2.548,-3.38,-1.241,-3.151,-4.452,-0.005,-3.117,-2.677,-3.042,0.518,-0.687,-2.732,-1.29,-1.461,-1.438,-1.615,0.489,-0.672,-3.489,-2.67,-1.447,-2.356,-1.092
2.161,1.663,2.164,0.42,1.012,1.399,1.641,0.853,1.905,1.086,1.507,1.636,0.999,1.807,4.987,5.208,0.989,3.47,1.997,0.191,0.665,-0.613,1.365,-0.039,2.429,1.974,1.326,1.224,3.21,0.123,0.711,-0.525,0.572,-0.109,2.862,1.848,1.644
1.345,0.151,1.83,-0.389,0.493,-0.536,-1.707,-0.988,-0.158,0.706,-0.475,0.487,-0.698,-0.906,-0.073,0.852,0.143,-0.546,-0.182,0.115,-0.966,0.461,-0.291,1.458,1.313,1.064,0.685,1.188,3.583,1.349,0.147,2.068,1.045,0.592,-0.076,2.67,0.945
-0.392,0.313,0.528,-0.396,-0.954,-0.194,-0.467,-1.971,-1.237,-1.679,0.001,-0.614,0.667,-0.298,1.786,0.958,-0.009,-1.017,-3.522,0.297,2.007,-2.159,-1.245,-0.526,0.297,0.03,-0.631,-1.549,-0.374,0.824,-0.238,0.561,-1.71,-0.76,2.298,0.843,0.557
-0.078,0.18,0.001,-0.577,-0.823,-1.083,-0.659,-0.798,0.233,-1.476,-0.449,-1.005,-1.843,-1.501,-0.707,-2.202,-0.178,-3.395,-3.87,-0.118,-1.153,-0.58,-0.034,-0.859,-1.59,-1.062,-0.254,-1.47,-1.859,-1.248,-1.162,0.531,-1.686,-1.29,0.832,-1.573,-0.72
-1.904,-2.441,-0.975,-2.165,-2.07,-1.177,-0.766,-1.346,-4.007,-1.873,0.072,-0.789,-1.705,-2.319,-0.319,-4.881,0.355,-0.775,-2.678,0.151,1.274,-0.522,0.102,-0.145,-1.099,-1.549,0.518,-1.403,-3.43,-1.594,-1.147,-1.132,-0.441,0.587,-0.446,-0.167,0.075
1.355,0.962,0.815,0.575,0.839,1.034,0.76,1.144,2.399,2.848,1.737,1.696,1.2,0.163,1.273,5.158,-0.218,1.944,5.024,0.29,1.458,1.448,0.438,-0.036,1.989,1.771,0.702,-0.814,0.054,-0.277,-0.282,0.426,0.75,1.254,0.95,1.441,1.661
-1.813,-0.936,-0.073,-1.567,-1.847,0.607,0.156,-0.736,-0.723,0.448,0.288,0.559,0.089,0.694,1.407,0.241,0.823,2.325,-3.919,0.078,-2.157,-0.176,-0.289,-0.596,-2.508,1.086,1.725,-0.205,0.556,-0.652,-1.377,-1.492,-0.562,-0.939,-3.648,-0.494,-2.547
-0.497,-0.148,1.81,0.1,1.283,0.674,-0.718,-0.258,-0.079,2.214,-0.27,0.231,0.188,-1.132,1.268,0.786,0.06,-1.802,2.578,-0.071,0.022,1.248,1.483,1.17,1.145,1.96,0.596,2.294,-0.436,0.5,0.193,-0.013,0.427,1.403,-0.333,-1.109,1.021
