EmployeeID,Unit,Supervisor,JobSat1,JobSat2,JobSat3,TurnInt1,TurnInt2,TurnInt3,Engage1,Engage2,Engage3,Engage4,Engage5,ExpIncivil1,ExpIncivil2,ExpIncivil3,ExpIncivil4,ExpIncivil5
EID356,Sales,EID372,3,3,4,3,3,3,3,3,4,3,3,2,3,3,3,2
EID361,Sales,EID372,2,2,3,2,2,2,3,3,4,3,3,2,2,2,2,3
EID302,Marketing,EID373,1,1,2,4,3,3,3,3,3,3,3,2,3,4,3,3
EID334,Sales,EID374,3,3,4,2,2,3,4,3,4,3,3,1,1,2,2,2
EID336,Sales,EID374,4,3,4,3,3,2,4,3,4,4,4,3,3,4,3,2
EID278,Manufacturing,EID375,2,3,4,3,4,3,3,3,3,4,5,2,3,3,2,3
EID338,Sales,EID376,3,3,4,2,2,3,4,3,4,4,3,1,2,1,3,1
EID343,Sales,EID376,4,4,4,3,3,2,4,3,4,3,4,2,2,3,2,1
EID363,Sales,EID376,3,3,3,2,2,2,3,3,3,4,3,2,2,3,3,3
EID366,Sales,EID376,2,3,4,3,3,2,4,3,3,4,2,2,2,3,3,3
EID350,Sales,EID377,3,3,5,2,3,2,4,3,3,4,4,2,2,2,2,2
EID230,Manufacturing,EID380,2,2,2,3,3,3,3,3,3,2,3,3,3,4,2,3
EID235,Manufacturing,EID380,3,3,3,3,3,3,4,3,3,4,3,2,2,3,2,2
EID242,Manufacturing,EID380,4,4,3,3,3,4,4,3,4,4,3,2,2,3,3,4
EID243,Manufacturing,EID380,3,3,5,4,3,4,3,3,3,3,3,2,3,3,2,3
EID247,Manufacturing,EID380,3,2,2,4,4,4,3,3,3,2,3,2,2,2,3,2
EID250,Manufacturing,EID380,2,3,3,3,3,3,2,3,3,3,2,2,2,1,2,2
EID283,Manufacturing,EID380,2,3,3,4,4,3,4,3,3,4,4,2,2,2,1,2
EID289,Manufacturing,EID380,4,5,3,2,2,2,4,3,4,4,3,2,2,2,2,2
EID290,Manufacturing,EID380,3,3,3,4,3,3,3,3,2,3,3,3,3,4,2,4
EID371,Manufacturing,EID381,4,4,3,3,4,3,4,3,4,5,4,2,2,1,3,3
EID227,Manufacturing,EID382,2,3,4,4,4,3,4,3,3,3,3,2,3,3,3,3
EID228,Manufacturing,EID382,3,3,4,3,3,3,3,3,3,2,3,2,2,2,2,2
EID238,Manufacturing,EID382,3,4,5,3,3,3,5,3,3,5,5,1,2,2,2,3
EID249,Manufacturing,EID382,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2
EID261,Manufacturing,EID382,3,3,3,3,3,4,4,3,4,4,4,2,2,2,3,3
EID262,Manufacturing,EID382,4,3,4,5,4,3,3,3,4,3,3,2,2,2,2,3
EID264,Manufacturing,EID382,3,2,3,4,5,4,4,3,2,3,3,1,2,3,3,3
EID270,Manufacturing,EID382,3,3,4,3,3,2,4,3,3,3,3,2,2,2,2,2
EID271,Manufacturing,EID382,3,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3
EID272,Manufacturing,EID382,2,4,2,5,4,4,3,3,3,2,3,2,3,3,3,4
EID274,Manufacturing,EID382,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3
EID279,Manufacturing,EID382,3,3,4,3,2,3,4,3,4,3,3,3,2,3,3,3
EID280,Manufacturing,EID382,2,2,3,4,4,4,3,3,3,3,3,2,3,3,3,3
EID284,Manufacturing,EID382,2,2,2,4,3,3,3,3,2,2,3,2,3,3,3,2
EID287,Manufacturing,EID382,3,3,3,4,4,3,4,3,3,3,2,1,2,2,3,2
EID297,Marketing,EID367,2,3,2,3,3,3,3,4,4,4,3,2,2,2,2,4
EID299,Marketing,EID367,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,2
EID303,Marketing,EID367,3,3,5,2,2,2,4,4,4,4,4,2,2,3,3,3
EID307,Marketing,EID367,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,3
EID309,Marketing,EID367,3,4,5,3,2,2,4,4,3,4,3,2,3,3,3,3
EID222,Manufacturing,EID368,4,4,4,3,3,2,4,4,4,4,4,1,2,2,3,2
EID241,Manufacturing,EID368,4,4,4,3,2,2,5,4,4,5,4,2,2,2,2,2
EID244,Manufacturing,EID368,4,4,4,3,2,2,4,4,4,4,4,2,3,3,2,2
EID246,Manufacturing,EID368,3,3,3,2,2,2,4,4,4,4,3,3,3,3,3,2
EID256,Manufacturing,EID368,3,4,3,3,3,2,5,4,2,4,4,3,3,3,3,3
EID257,Manufacturing,EID368,4,4,3,3,3,3,3,4,4,5,5,3,3,4,4,3
EID258,Manufacturing,EID368,3,3,3,3,3,3,3,4,3,4,3,3,2,2,2,2
EID268,Manufacturing,EID368,3,3,3,3,3,3,4,4,3,3,4,2,3,2,3,2
EID211,HumanResources,EID370,3,4,3,3,4,3,4,4,3,5,4,2,2,2,2,3
EID214,HumanResources,EID370,4,3,3,3,3,4,3,4,4,4,4,2,2,3,3,3
EID216,HumanResources,EID370,2,3,3,3,2,3,4,4,5,4,3,2,4,3,3,3
EID259,Manufacturing,EID371,5,5,4,2,2,2,4,4,4,4,4,2,2,2,3,2
EID313,ResearchDevelopment,EID372,3,3,3,3,2,2,4,4,5,3,4,3,3,3,3,2
EID314,ResearchDevelopment,EID372,4,4,4,3,2,3,4,4,4,5,4,2,2,2,2,2
EID316,ResearchDevelopment,EID372,2,2,2,4,3,4,4,4,3,3,3,3,3,3,3,3
EID318,ResearchDevelopment,EID372,4,4,2,3,3,3,4,4,4,4,4,1,2,2,3,2
EID321,ResearchDevelopment,EID372,3,3,4,3,3,2,4,4,3,4,3,1,2,2,3,3
EID323,ResearchDevelopment,EID372,4,4,5,3,2,2,4,4,3,3,4,2,2,2,3,3
EID325,ResearchDevelopment,EID372,4,4,4,2,2,1,4,4,3,4,4,1,1,2,2,2
EID326,ResearchDevelopment,EID372,2,2,3,3,3,3,4,4,4,3,3,2,2,2,2,2
EID327,ResearchDevelopment,EID372,5,4,3,2,2,3,4,4,4,4,5,2,2,3,2,1
EID329,ResearchDevelopment,EID372,3,3,3,3,3,2,3,4,4,4,3,2,2,3,3,2
EID335,Sales,EID372,4,3,4,3,3,2,4,4,4,5,4,2,2,2,2,3
EID337,Sales,EID372,4,4,5,2,2,2,4,4,5,5,5,2,2,3,3,3
EID351,Sales,EID372,4,3,3,3,4,4,4,4,4,4,4,2,2,3,3,2
EID355,Sales,EID372,3,4,5,3,3,3,3,4,4,3,3,2,3,2,3,3
EID360,Sales,EID372,3,4,4,3,2,2,4,4,4,4,3,2,1,2,2,1
EID362,Sales,EID372,3,3,3,4,4,4,3,4,4,3,3,3,3,3,4,3
EID300,Marketing,EID373,3,3,3,2,2,3,5,4,4,4,3,2,2,2,3,2
EID304,Marketing,EID373,4,4,5,1,2,2,4,4,5,4,3,1,2,2,2,3
EID311,Marketing,EID373,3,3,4,4,3,4,3,4,3,4,3,2,3,3,4,2
EID312,Marketing,EID373,3,3,3,3,2,3,4,4,3,4,4,2,2,2,2,3
EID372,Sales,EID374,4,4,4,2,2,2,4,4,4,5,4,2,2,2,3,3
EID233,Manufacturing,EID375,3,4,4,2,3,3,4,4,3,3,3,1,2,1,3,3
EID267,Manufacturing,EID375,2,3,3,4,3,4,4,4,3,4,3,2,2,2,3,3
EID285,Manufacturing,EID375,4,4,4,2,2,3,4,4,4,4,4,1,2,2,2,3
EID332,Sales,EID376,4,4,4,4,3,3,4,4,4,4,4,2,3,3,2,2
EID345,Sales,EID376,3,4,4,3,3,3,4,4,3,4,4,2,2,2,2,3
EID346,Sales,EID376,3,2,3,3,3,4,4,4,3,4,4,3,3,4,4,3
EID348,Sales,EID376,4,3,4,4,3,4,3,4,4,4,4,2,2,2,1,3
EID359,Sales,EID376,3,4,4,3,3,3,5,4,4,5,5,2,2,3,3,2
EID365,Sales,EID376,4,5,4,2,2,2,4,4,4,5,3,2,2,2,2,2
EID353,Sales,EID377,3,3,3,3,2,2,5,4,4,4,4,2,3,2,3,2
EID370,HumanResources,EID379,2,2,2,3,3,3,4,4,5,4,5,2,3,2,3,2
EID223,Manufacturing,EID380,4,4,5,2,1,2,4,4,4,4,4,2,2,2,2,2
EID224,Manufacturing,EID380,2,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3
EID239,Manufacturing,EID380,3,4,3,2,2,2,4,4,5,4,4,2,2,3,3,2
EID240,Manufacturing,EID380,3,3,4,2,3,3,4,4,3,4,3,3,3,4,4,3
EID245,Manufacturing,EID380,3,4,5,4,3,2,4,4,4,4,4,2,2,2,3,1
EID251,Manufacturing,EID380,3,3,4,4,4,3,5,4,3,4,4,2,3,2,2,2
EID229,Manufacturing,EID382,3,3,4,2,2,3,3,4,4,3,4,2,2,3,3,3
EID263,Manufacturing,EID382,2,1,2,3,3,3,4,4,3,4,3,2,2,2,3,3
EID265,Manufacturing,EID382,2,2,3,4,3,4,3,4,3,3,3,2,2,3,2,3
EID269,Manufacturing,EID382,4,4,4,2,3,3,4,4,4,4,4,2,2,2,1,2
EID273,Manufacturing,EID382,2,2,3,4,4,4,4,4,4,5,4,3,3,3,3,3
EID281,Manufacturing,EID382,5,4,5,3,3,3,4,4,3,5,5,2,2,2,2,2
EID308,Marketing,EID367,4,3,5,2,2,2,5,5,5,5,5,3,2,3,2,3
EID231,Manufacturing,EID368,3,4,3,3,3,2,4,5,3,4,4,2,2,2,3,2
EID378,Manufacturing,EID369,3,4,4,3,3,3,5,5,4,5,4,2,3,3,3,3
EID255,Manufacturing,EID371,3,4,3,2,2,2,5,5,5,5,5,2,3,3,2,2
EID333,Sales,EID372,3,3,4,3,3,3,4,5,4,5,4,2,3,3,3,3
EID347,Sales,EID372,4,4,4,3,3,2,5,5,5,5,5,3,2,3,3,3
EID298,Marketing,EID373,4,4,3,3,3,2,5,5,5,4,4,2,2,2,2,3
EID234,Manufacturing,EID375,4,3,4,4,3,3,4,5,4,4,4,2,3,3,3,3
EID364,Sales,EID376,5,5,4,2,3,3,5,5,4,5,5,2,3,3,4,3
EID248,Manufacturing,EID380,4,5,4,1,1,1,4,5,4,5,5,2,1,2,2,1
