emp_id,perf_eval,interview,gender,age,race
EE454,5.1,6.4,man,43.6,asian
EE457,5.8,9.2,woman,28.1,black
EE459,5.7,6.3,woman,44.7,asian
EE472,3.1,5.8,woman,42.9,white
EE473,3.6,5.3,man,46.6,asian
EE474,4,6.8,man,36.7,black
EE476,5.1,7,woman,36.7,white
EE478,3.4,8,woman,29.5,asian
EE479,5.2,5.4,woman,45,black
EE484,3.5,7,woman,36.7,asian
EE485,3.7,5,man,50.3,asian
EE486,2.5,6.3,man,38.3,asian
EE490,4.6,6.4,man,42.1,black
EE491,6.4,8.9,man,28.6,asian
EE492,2.7,6.3,man,39.6,white
EE496,5.2,7.9,man,31.9,asian
EE498,3.3,7.3,man,32.9,white
EE500,4.5,7.5,man,33.4,white
EE501,4.8,7.4,woman,31.4,black
EE502,4.8,7.6,woman,34.3,black
EE503,4.2,6.6,man,37.2,white
EE504,2.6,3.6,woman,64.6,black
EE505,6.5,8.4,man,30.9,asian
EE510,6.4,10,man,25,black
EE511,5.4,4.8,woman,53.4,white
EE512,6.4,9.3,man,26.7,asian
EE514,4.5,8.2,woman,29.7,black
EE515,4.7,6.3,man,39.5,asian
EE516,5.5,8,man,32.1,white
EE517,4.3,7.1,man,35.6,black
EE519,5.6,5.7,woman,47.9,white
EE520,4.3,7.9,man,29.9,white
EE530,3.9,5.2,woman,48.3,black
EE531,3.4,7.3,man,32.1,white
EE534,4.9,6.8,man,37.1,black
EE537,5.5,5,woman,55,asian
EE539,2.8,6.1,woman,39.5,asian
EE540,4.8,9.2,man,26.7,black
EE541,4.7,5.8,woman,44.6,white
EE544,4.3,6.7,woman,41,black
EE545,4.8,6.8,man,35.1,black
EE547,5.6,7.1,man,35.9,black
EE553,5.3,6,woman,44.3,black
EE554,5.9,9.2,man,26.8,asian
EE555,5.8,8,man,32.7,white
EE556,4.5,6.6,man,39.2,black
EE558,3.6,6.2,man,40.7,black
EE560,4.2,5.6,woman,42.7,white
EE561,7,7,woman,37.9,black
EE564,5.8,8.6,man,30.3,black
EE565,6.2,8.6,man,31.3,white
EE567,5.6,7.2,man,36,asian
EE568,4.5,6,woman,41.2,white
EE569,5.6,6.8,woman,35.6,white
EE575,6.3,7.5,man,34.7,black
EE577,4.4,7.8,woman,31.8,black
EE578,4,5.1,woman,49.5,black
EE582,4.2,6.5,woman,38.3,black
EE583,5,7.7,man,29.7,asian
EE584,3.2,8,man,31.5,asian
EE585,3,8,man,31.1,white
EE586,4.7,7.8,man,33.6,white
EE588,3.7,6.6,man,37.5,white
EE590,4.3,5.7,man,45.3,asian
EE591,4.7,5.7,woman,43.2,white
EE592,4.7,7,woman,36.2,black
EE594,4.7,5.4,man,48.9,white
EE603,6,7.3,man,36.1,asian
EE606,3.9,7.7,woman,31.8,black
EE607,3.8,5.9,woman,41.1,white
EE608,6,9.5,man,28.4,black
EE609,4.5,9.2,man,25.6,asian
EE610,4.8,7.4,woman,34,white
EE613,5.2,7.4,man,35.6,asian
EE614,4.4,6.9,woman,33.5,white
EE616,3.9,5.4,man,46.6,white
EE617,6.5,7,woman,37.7,asian
EE618,3.5,6,man,41.8,white
EE620,4.6,8,man,31.8,white
EE621,3.4,5.7,man,43.6,black
EE622,4.2,7,woman,34.7,asian
EE623,4.2,8,man,31.6,white
EE624,3.3,8.6,man,28.2,white
EE626,5.1,9.1,man,27.4,black
EE627,5.4,7.3,man,37.2,asian
EE628,5.2,8.3,man,31.1,asian
EE630,5.6,6.3,man,40.8,asian
EE631,3.7,6.7,man,34.6,white
EE633,6.3,6.2,man,45.7,white
EE635,4.4,7.2,man,35.9,white
EE638,3.9,8.6,woman,27.6,white
EE639,6.2,8.4,man,32.3,black
EE642,4.8,7.4,woman,37.8,black
EE647,5.9,6,woman,44.3,black
EE649,5,5.9,woman,44.2,asian
EE651,6,8.9,woman,28.1,black
EE653,5.5,5.4,woman,51.1,white
EE654,5.3,8.2,woman,29.7,black
EE655,4.3,5.9,man,38.9,black
EE656,5.3,7.9,woman,32.3,black
EE665,3.3,6.6,man,39.3,black
EE667,3.6,5.6,woman,41.7,asian
EE673,5.9,7.5,man,34.5,white
EE674,5.2,7.7,man,32.8,white
EE677,5.7,7.2,man,34.9,asian
EE679,3.7,6.3,woman,40.9,asian
EE680,3.4,7.5,woman,34.1,asian
EE682,5.6,8.5,woman,31.2,white
EE685,4.9,5.8,woman,44.6,black
EE687,5.2,6.5,woman,39.6,asian
EE690,3.7,6.1,woman,38.8,asian
EE691,3.9,8,woman,30.4,white
EE694,5,8,woman,31.4,black
EE695,4.5,5.1,man,50.7,asian
EE696,5.4,6.4,man,41.2,black
EE701,4.7,6.3,woman,39.8,asian
EE707,3.4,7.9,man,32.2,asian
EE709,4.5,5.1,woman,49.6,white
EE711,7,10,man,25.6,asian
EE724,5.3,7.3,man,36.1,black
EE728,3.7,5.7,man,46.9,asian
EE730,5.1,4.6,woman,58.1,asian
EE735,4.7,5,woman,52.1,white
EE738,3.8,5.9,man,42.6,white
EE741,4,6.1,woman,40.8,asian
EE743,3.6,6.1,woman,39.9,black
EE744,5,7.1,woman,35.4,white
EE746,6.1,7.7,man,32.7,asian
EE747,5.9,8.3,man,31.1,black
EE750,4.9,6.6,woman,40.9,black
EE751,5,7.3,man,35.5,white
EE752,5.8,8.1,man,32.8,asian
EE753,4.1,8.1,woman,30.7,white
EE754,4.1,2.8,woman,81,black
EE756,3.4,6,woman,44.3,asian
EE757,6.2,9.3,man,27.1,white
EE760,3.6,5.6,woman,47,asian
EE763,4.4,6.5,man,36.4,black
EE764,5.6,6.6,man,42.7,black
EE767,5.4,6.5,man,40.9,asian
EE768,3.7,6.8,man,35.1,asian
EE772,4.8,5.5,man,50.7,black
EE775,4.7,8.1,woman,31.7,white
EE779,3.9,7.5,man,33.1,black
EE781,5.3,4.9,woman,51.5,white
EE786,6.4,7.3,man,35.3,white
EE787,3.1,7.5,man,33,white
EE791,4.7,6.4,man,39,white
EE796,5,6.9,woman,35.3,white
EE798,2.5,7.1,woman,33.7,white
EE799,2,7,woman,31.3,white
EE803,4.2,6.2,woman,41.9,black
EE804,5.5,7.4,man,34.6,black
EE805,4.1,5.5,woman,43.5,asian
EE810,3.5,4.2,man,58.8,asian
EE814,6,6.6,woman,38,black
EE816,4,8.2,man,30.4,asian
EE822,4.4,8.6,woman,28.5,asian
EE823,5.8,5.8,woman,44.4,asian
EE825,5.1,7.7,man,31.7,black
EE827,5.3,4.7,woman,55.4,white
EE830,4.5,5.6,man,48.7,white
EE832,4,6.5,man,38.5,white
EE833,4.6,6.5,woman,35.7,asian
EE834,5.4,8.1,man,32.5,asian
EE839,3.2,5.5,man,46.4,white
EE840,4.9,8.8,man,26.3,asian
EE845,3.8,5.2,woman,48.5,black
EE850,4.4,6.9,woman,36.3,black
EE856,5.8,8.3,man,30.1,asian
EE861,4.6,8.8,man,27.2,black
EE864,4.7,7,man,36.7,asian
EE870,2.8,5.5,woman,45.3,black
EE873,2.4,5.6,man,43.9,black
EE874,4.3,7.1,man,37.5,asian
EE877,3.9,6.6,woman,36.8,white
EE879,4.4,7.9,man,31.7,asian
EE880,4.9,9.1,man,25.4,black
EE883,3.5,6.9,man,36.7,asian
EE885,6.1,7.6,woman,34.6,asian
EE886,3.4,6.1,woman,39,black
EE887,5.4,7.7,man,33.5,asian
EE895,3.8,6.4,man,38.4,black
EE897,4.6,8.1,man,31,asian
EE898,4.7,6.3,woman,38.9,black
EE900,5.4,5.4,woman,49.5,white
EE905,7,9.3,man,26.2,asian
EE908,5.7,9.4,woman,28.4,asian
EE909,5,9.1,man,26.1,asian
EE910,5.2,5.8,woman,46.2,white
EE912,4.8,5.7,woman,42.8,asian
EE913,5.3,7.1,man,36.1,asian
EE914,2.9,5.6,woman,44.1,white
EE916,4.8,7.6,man,31.3,asian
EE919,5.2,9.4,man,25.2,white
EE925,3.9,7.5,man,33.5,white
EE926,5.5,6.3,woman,42.8,black
EE930,5.6,6.6,man,38.7,black
EE931,3.2,7,man,34.1,white
EE935,4.2,3.2,woman,73,white
EE936,5.5,3.5,woman,75.2,white
EE940,6.3,8,man,30.7,black
EE941,5.6,8.5,man,27.7,black
EE942,4.1,9.3,man,26.8,asian
EE944,6.2,7.2,woman,35.6,black
EE953,3.1,6.9,man,35.7,black
EE954,5.6,7.2,woman,36.6,black
EE960,5.3,6.8,woman,38.1,asian
EE961,4.8,5.1,woman,49.4,asian
EE962,5.1,5.5,woman,49.9,black
EE963,5.8,10,man,24.8,asian
EE966,4.5,7.7,woman,31.5,asian
EE968,5.7,6.6,man,39.3,asian
EE976,5.8,8.9,man,27.7,asian
EE984,4.3,6.5,man,40.6,black
EE985,5.7,5.8,woman,44.4,black
EE986,3.3,5.7,woman,44.1,white
EE987,4.4,7.1,woman,39.1,black
EE992,3.8,8.2,woman,30.4,asian
EE996,4.8,7.7,woman,29.6,black
