EmployeeID,OrgTenureYrs_2019,JobLevel,Sex,RaceEthnicity,AgeYrs_2019,Veteran
1088,0.5,1,Female,HispanicLatino,31.5,No
1089,1.5,1,Female,Asian,59.5,No
1090,3.4,3,Female,Asian,44.4,No
1091,6.6,5,Male,HispanicLatino,53.6,No
1092,3.3,1,Female,HispanicLatino,41.3,No
1093,3.9,3,Male,White,35.9,No
1094,2.9,2,Female,White,41.9,No
1095,5.5,2,Female,White,44.5,No
1096,1.3,1,Female,Asian,33.3,No
1097,3.3,2,Female,Asian,45.3,No
1098,3.8,2,Male,White,32.8,No
1099,3.2,2,Female,HispanicLatino,33.2,No
1100,1.8,1,Male,HispanicLatino,23.8,No
1101,3.8,4,Male,HispanicLatino,39.8,No
1102,1.2,1,Female,White,46.2,Yes
1103,1.8,1,Male,Asian,40.8,No
1104,3.8,2,Male,White,35.8,No
1105,3.2,2,Female,Asian,28.2,No
1106,3.8,1,Male,White,34.8,No
1107,1.2,1,Female,HispanicLatino,34.2,Yes
1108,0.3,1,Female,Asian,37.3,No
1109,3.2,4,Male,Asian,36.2,No
1110,1.2,1,Female,Asian,33.2,No
1111,3.2,1,Female,HispanicLatino,33.2,No
1112,3.7,2,Male,Asian,40.7,No
1113,1.7,1,Male,Asian,22.7,No
1114,3.6,3,Male,White,46.6,No
1115,6.2,4,Male,Asian,41.2,No
1116,1.9,1,Female,Asian,44.9,No
1117,3.2,3,Female,HispanicLatino,37.2,No
1118,1.0,1,Female,White,43.0,No
1119,3.5,2,Male,HispanicLatino,34.5,No
1120,1.1,1,Female,White,39.1,No
1121,1.4,1,Male,Asian,36.4,No
1122,6.8,4,Male,HispanicLatino,44.8,No
1123,3.3,3,Male,Asian,41.3,No
1124,3.1,4,Female,HispanicLatino,49.1,No
1125,1.3,1,Male,HispanicLatino,23.3,No
1126,3.3,3,Male,HispanicLatino,34.3,No
1127,3.1,3,Female,HispanicLatino,39.1,No
1128,1.3,1,Male,White,28.3,No
1129,4.0,4,Male,Asian,37.0,No
1130,1.1,1,Female,HispanicLatino,43.1,No
1131,3.3,2,Male,White,47.3,No
1132,3.3,2,Male,Asian,25.3,No
1133,1.0,1,Female,White,27.0,No
1134,3.1,2,Female,Asian,42.1,No
1135,3.2,1,Male,White,40.2,No
1136,3.1,3,Female,HispanicLatino,48.1,No
1137,0.2,1,Female,White,33.2,No
1138,0.1,1,Male,Asian,18.1,Yes
1139,1.6,1,Male,White,27.6,No
1140,3.2,2,Male,Asian,32.2,No
1141,1.2,1,Male,White,24.2,No
1142,2.3,1,Female,White,36.3,No
1143,1.2,1,Male,Asian,32.2,No
1144,3.2,1,Male,HispanicLatino,47.2,No
1145,1.1,1,Female,White,33.1,Yes
1146,1.1,1,Female,Asian,38.1,No
1147,3.2,4,Male,Asian,50.2,No
1148,3.8,1,Female,HispanicLatino,24.8,No
1149,3.1,2,Female,White,53.1,No
1150,0.4,1,Female,HispanicLatino,33.4,Yes
1151,1.6,1,Female,HispanicLatino,24.6,No
1152,0.8,1,Male,HispanicLatino,40.8,No
1153,1.5,4,Male,Asian,42.5,No
1154,3.1,3,Female,White,37.1,No
1155,1.6,1,Female,White,19.6,No
1156,3.1,4,Female,HispanicLatino,49.1,No
1157,99999.0,1,Male,Asian,28.0,No
1158,1.2,1,Male,White,26.2,No
1159,3.2,2,Male,HispanicLatino,40.2,No
1160,3.1,4,Female,HispanicLatino,45.1,No
1161,1.2,1,Male,Asian,44.2,No
1162,1.1,1,Male,Asian,45.1,Yes
1163,0.2,1,Female,Black,31.2,No
