emp_id,job_title,pay_grade,status,base_pay,job_tenure,pay_grade_tenure,org_tenure,age,educ,perf,sex,race,data_retrieval_date
ee200101,technician 1,e07,nonexempt,52909,4.1,4.1,4.1,33,2,6.6,female,white,2019-04-01
ee20033,technician 1,e07,nonexempt,52878,6.3,13.4,13.4,42.4,5,10,male,black,2019-04-01
ee20018,technician 2,e07,nonexempt,53695,4.8,7.5,7.5,37.7,3,9.8,female,black,2019-04-01
ee20070,technician 1,e07,nonexempt,42084,0.2,8.9,8.9,31.2,2,9.5,female,black,2019-04-01
ee20083,technician 2,e07,nonexempt,56414,6.1,11.1,11.1,40.7,4,7.8,male,black,2019-04-01
ee200111,technician 2,e07,nonexempt,56216,4.6,8.6,8.6,34,1,8.5,female,white,2019-04-01
ee20042,technician 3,e07,nonexempt,64095,5.5,12.7,12.7,37.2,3,10,male,white,2019-04-01
ee20011,technician 3,e07,nonexempt,67753,7.4,7.4,7.4,39.1,3,6.6,male,white,2019-04-01
ee20061,technician 2,e07,nonexempt,59509,3.9,7.3,7.3,41,3,8.3,female,black,2019-04-01
ee20025,technician 1,e07,nonexempt,50519,5.4,9.3,9.3,40.8,4,5.4,female,black,2019-04-01
ee200123,technician 2,e07,nonexempt,56670,2.6,2.6,2.6,40.2,4,3,male,white,2019-04-01
ee20038,technician 2,e07,nonexempt,56970,6,14.3,14.3,36.5,3,8,female,asian,2019-04-01
ee20099,technician 2,e07,nonexempt,54384,3.1,11.1,11.1,37.8,2,10,male,white,2019-04-01
ee2007,technician 2,e07,nonexempt,58828,6.9,13.4,13.4,42.9,5,10,male,white,2019-04-01
ee20027,technician 2,e07,nonexempt,57004,5.6,5.6,5.6,43.8,3,8.4,male,black,2019-04-01
ee20062,technician 1,e07,nonexempt,48234,6.9,14.7,14.7,45.6,2,4.4,female,asian,2019-04-01
ee20031,technician 2,e07,nonexempt,54431,2.8,4.0,5.1,42.4,4,6.4,female,asian,2019-04-01
ee20043,technician 2,e07,nonexempt,55689,5.6,14.5,14.5,41,3,5.9,male,white,2019-04-01
ee2002,technician 2,e07,nonexempt,54331,4.4,4.4,4.4,31.6,2,6.2,male,black,2019-04-01
ee20014,technician 1,e07,nonexempt,50086,7.4,13.9,13.9,43.7,5,6.8,female,black,2019-04-01
ee20076,technician 2,e07,nonexempt,59909,9.8,11.9,11.9,45.1,2,6.8,male,black,2019-04-01
ee20081,technician 1,e07,nonexempt,52635,5.2,6.6,6.6,50.1,1,6.8,female,asian,2019-04-01
ee20040,technician 1,e07,nonexempt,47598,5.6,10.1,10.1,40.5,4,3.8,male,asian,2019-04-01
ee20069,technician 1,e07,nonexempt,51417,5.6,13.8,13.8,45.1,5,6.4,female,black,2019-04-01
ee200114,technician 1,e07,nonexempt,51006,3.4,3.4,3.4,31.3,4,6,female,asian,2019-04-01
ee20096,technician 1,e07,nonexempt,47615,2.8,7.1,7.1,41.1,2,7.9,female,asian,2019-04-01
ee20016,technician 3,e07,nonexempt,68335,7.2,11.3,11.3,37,4,8.2,male,black,2019-04-01
ee200112,technician 1,e07,nonexempt,43873,1.5,7.0,7.0,33.6,2,3.1,female,white,2019-04-01
ee2006,technician 3,e07,nonexempt,58607,2.7,8.8,8.8,38.6,1,7.8,female,white,2019-04-01
ee20055,technician 2,e07,nonexempt,57380,6.3,7.8,7.8,28.8,2,8.9,female,white,2019-04-01
ee20054,technician 2,e07,nonexempt,55159,3.7,8.8,10.4,31.9,3,8.9,male,white,2019-04-01
ee20039,technician 2,e07,nonexempt,55087,3,3.0,3.0,35.7,1,3.5,male,black,2019-04-01
ee20060,technician 1,e07,nonexempt,48632,2,2.0,2.0,25.3,1,10,female,black,2019-04-01
ee20046,technician 3,e07,nonexempt,60503,7,7.0,7.0,43.1,5,10,male,white,2019-04-01
ee200104,technician 1,e07,nonexempt,52751,3.3,6.2,6.2,39.4,3,7,male,black,2019-04-01
ee200118,technician 1,e07,nonexempt,47352,1.6,5.9,5.9,30,3,4.9,female,black,2019-04-01
ee20088,technician 2,e07,nonexempt,58200,2.8,4.7,4.7,39.9,2,8.8,female,white,2019-04-01
ee200102,technician 3,e07,nonexempt,59442,5.8,7.7,7.7,31,4,10,male,black,2019-04-01
ee200113,technician 3,e07,nonexempt,63956,5.7,11.1,11.1,41.7,2,9.1,male,white,2019-04-01
ee20090,technician 2,e07,nonexempt,56096,10.1,11.1,11.1,36.4,3,8.6,female,black,2019-04-01
ee2009,technician 2,e07,nonexempt,53413,3.7,12.3,12.3,38.2,3,9.2,male,black,2019-04-01
ee20094,technician 3,e07,nonexempt,71166,6.4,13.6,13.6,44.2,3,7.7,male,black,2019-04-01
ee20049,technician 2,e07,nonexempt,54204,5.8,11.2,14.7,38.6,5,7.4,female,asian,2019-04-01
ee200108,technician 3,e07,nonexempt,59964,6.1,8.4,8.4,45.5,2,8.1,male,black,2019-04-01
ee200105,technician 1,e07,nonexempt,40000,1.4,8.6,8.6,37.7,1,4.1,female,black,2019-04-01
ee20091,technician 1,e07,nonexempt,52786,3.5,5.1,5.1,45.4,4,7.8,male,black,2019-04-01
ee20047,technician 2,e07,nonexempt,57329,6.3,12.9,12.9,35.8,5,5.8,male,asian,2019-04-01
ee20037,technician 1,e07,nonexempt,52504,6.4,13.3,13.3,39.5,5,4.2,male,black,2019-04-01
ee20064,technician 1,e07,nonexempt,51863,5.4,15.0,15.0,38.2,5,5.3,female,white,2019-04-01
ee20080,technician 1,e07,nonexempt,48203,7.6,9.5,9.5,44.1,2,8.9,female,asian,2019-04-01
ee20058,technician 1,e07,nonexempt,52089,5.4,6.2,6.2,40.8,5,7.4,female,asian,2019-04-01
ee20093,technician 1,e07,nonexempt,50716,4.4,6.7,6.7,38.4,5,5.1,female,black,2019-04-01
ee20021,technician 1,e07,nonexempt,54170,2.8,9.5,9.5,33,5,8.9,female,black,2019-04-01
ee20013,technician 2,e07,nonexempt,55523,3.7,12.9,12.9,31,4,10,male,white,2019-04-01
ee2008,technician 2,e07,nonexempt,52729,5,8.1,8.1,38.3,4,6.8,female,black,2019-04-01
ee20056,technician 1,e07,nonexempt,48805,4.7,5.9,5.9,24.5,3,6.7,female,white,2019-04-01
ee200119,technician 1,e07,nonexempt,52565,5.6,7.7,9.8,35.7,1,9,female,asian,2019-04-01
ee20075,technician 3,e07,nonexempt,64392,7.2,16.2,16.2,37,4,10,male,white,2019-04-01
ee20067,technician 1,e07,nonexempt,47928,4.6,9.4,9.4,39,1,6.2,female,white,2019-04-01
ee20086,technician 2,e07,nonexempt,59392,7.3,11.6,11.6,49.1,1,5.8,female,black,2019-04-01
ee20077,technician 3,e07,nonexempt,61966,9.5,18.1,18.1,44.1,1,6.4,female,black,2019-04-01
ee200100,technician 1,e07,nonexempt,50532,3.9,12.5,12.5,35,2,10,female,black,2019-04-01
ee200116,technician 3,e07,nonexempt,63208,5.1,5.1,5.1,35.4,3,10,male,black,2019-04-01
ee20051,technician 1,e07,nonexempt,46026,2.2,2.2,2.2,32.6,2,5.7,male,black,2019-04-01
ee20010,technician 1,e07,nonexempt,49983,6.1,15.8,15.8,30.6,4,7.6,male,black,2019-04-01
ee20023,technician 1,e07,nonexempt,53091,7.8,15.4,15.4,43,3,4.2,female,black,2019-04-01
ee20087,technician 1,e07,nonexempt,53268,3.2,7.2,7.2,41.3,2,5.6,male,white,2019-04-01
ee20028,technician 1,e07,nonexempt,51527,3.4,13.0,13.0,43.6,3,7.3,female,asian,2019-04-01
ee200106,technician 2,e07,nonexempt,59403,6.4,7.0,7.0,40.2,5,7.5,male,black,2019-04-01
ee20017,technician 2,e07,nonexempt,57692,7.4,10.1,11.1,45.9,2,10,male,black,2019-04-01
ee20048,technician 3,e07,nonexempt,62452,6.5,15.6,15.6,45.9,2,10,male,black,2019-04-01
ee2005,technician 1,e07,nonexempt,46194,2.5,2.5,2.5,43.4,3,4.3,female,asian,2019-04-01
ee200110,technician 1,e07,nonexempt,51210,4.1,7.3,7.3,37.5,4,8.3,female,asian,2019-04-01
ee200120,technician 3,e07,nonexempt,63756,4.3,8.2,8.2,47.6,1,9.2,female,black,2019-04-01
ee20095,technician 2,e07,nonexempt,57234,7.8,10.0,10.0,39.1,3,6.2,male,asian,2019-04-01
ee200107,technician 3,e07,nonexempt,65288,4.2,10.9,10.9,44,3,10,male,white,2019-04-01
ee200125,technician 2,e07,nonexempt,55685,6.7,13.6,13.6,41.8,3,7.7,male,white,2019-04-01
ee2003,technician 1,e07,nonexempt,53776,0.3,4.2,4.2,40.6,2,7.4,male,black,2019-04-01
ee200109,technician 2,e07,nonexempt,59141,7.8,8.9,12.3,35.6,2,10,female,black,2019-04-01
ee2004,technician 1,e07,nonexempt,54257,5,10.0,12.1,39.6,3,5.7,male,black,2019-04-01
ee20044,technician 1,e07,nonexempt,51242,7,10.6,10.6,38,1,9.3,female,black,2019-04-01
ee20063,technician 3,e07,nonexempt,62811,8.2,8.2,8.2,40.3,5,7,male,black,2019-04-01
ee20012,technician 2,e07,nonexempt,58524,4.3,5.1,5.1,42,2,8.3,male,white,2019-04-01
ee20084,technician 3,e07,nonexempt,60352,9.7,13.7,13.7,40.7,5,7.3,male,white,2019-04-01
ee20024,technician 2,e07,nonexempt,58876,6,9.8,9.8,53.4,5,9.2,female,black,2019-04-01
ee200103,technician 2,e07,nonexempt,58623,3.8,10.4,10.4,39.9,3,5.7,male,white,2019-04-01
ee20035,technician 2,e07,nonexempt,55168,11.4,13.5,13.5,40.4,4,6.6,female,white,2019-04-01
ee20015,technician 3,e07,nonexempt,59837,5.2,13.0,13.0,48.1,3,10,female,white,2019-04-01
ee20065,technician 1,e07,nonexempt,53365,5,9.2,9.2,40.6,1,6,female,white,2019-04-01
ee20072,technician 3,e07,nonexempt,63586,5.2,14.6,14.6,38.4,3,9.7,male,white,2019-04-01
ee20041,technician 2,e07,nonexempt,58376,5.8,7.8,7.8,45.5,3,8.9,female,white,2019-04-01
ee20098,technician 2,e07,nonexempt,53144,6.2,14.1,14.1,38.8,5,8,female,white,2019-04-01
ee20052,technician 2,e07,nonexempt,56782,7.2,7.2,7.2,46.1,4,6.6,female,white,2019-04-01
ee20092,technician 3,e07,nonexempt,64215,3.3,10.5,10.5,35.7,2,8.1,male,black,2019-04-01
ee20053,technician 1,e07,nonexempt,48814,1.5,6.3,6.3,31.7,2,6.1,female,white,2019-04-01
ee200122,technician 1,e07,nonexempt,52649,2.6,7.6,12.5,31.2,3,10,female,black,2019-04-01
ee20073,technician 3,e07,nonexempt,61561,8.5,8.5,8.5,40,3,5.9,male,white,2019-04-01
ee20071,technician 2,e07,nonexempt,57811,7.2,9.7,9.7,32.6,3,10,female,white,2019-04-01
ee20029,technician 1,e07,nonexempt,48050,1.3,3.3,4.0,30.4,1,7.3,male,black,2019-04-01
ee200124,technician 2,e07,nonexempt,54924,9.5,9.5,9.5,43.5,5,5.5,female,asian,2019-04-01
