SurveyID,Unit,Week,OpenEnded
SS1200652,Data Center,14,had made Highbury feel a sort of pride in him too. He was looked on as
SS1200653,Data Center,14,"separation from friends whose friendship for her had never cooled, and"
SS1200654,Data Center,14,"had been a great distress to him, was all eat up. His own stomach"
SS1200699,Data Center,15,"They lived beyond their income, but still it was nothing in comparison"
SS1200700,Data Center,15,"portionless even as Miss Taylor, and to live according to the wishes of"
SS1200701,Data Center,15,sufficiently belonging to the place to make his merits and prospects a
SS1200702,Data Center,15,who could ill bear to part with her.
SS1200703,Data Center,15,"could bear nothing rich, and he could never believe other people to be"
SS1200748,Data Center,16,"of Enscombe: she did not cease to love her husband, but she wanted at"
SS1200749,Data Center,16,his own friendly and social disposition.
SS1200750,Data Center,16,kind of common concern.
SS1200751,Data Center,16,"She knew that at times she must be missed; and could not think, without"
SS1200752,Data Center,16,different from himself. What was unwholesome to him he regarded as unfit
SS1200796,Data Center,17,"Mr. Weston was a native of Highbury, and born of a respectable family,"
SS1200797,Data Center,17,"once to be the wife of Captain Weston, and Miss Churchill of Enscombe."
SS1200798,Data Center,17,It was now some time since Miss Taylor had begun to influence his
SS1200799,Data Center,17,"Mr. Frank Churchill was one of the boasts of Highbury, and a lively"
SS1200800,Data Center,17,"pain, of Emma's losing a single pleasure, or suffering an hour's ennui,"
SS1200801,Data Center,17,"for any body; and he had, therefore, earnestly tried to dissuade them"
SS1200845,Data Center,18,which for the last two or three generations had been rising into
SS1200846,Data Center,18,"Captain Weston, who had been considered, especially by the Churchills,"
SS1200847,Data Center,18,"schemes; but as it was not the tyrannic influence of youth on youth,"
SS1200848,Data Center,18,"curiosity to see him prevailed, though the compliment was so little"
SS1200849,Data Center,18,from the want of her companionableness: but dear Emma was of no feeble
SS1200850,Data Center,18,"from having any wedding-cake at all, and when that proved vain, as"
SS1200894,Data Center,19,"gentility and property. He had received a good education, but, on"
SS1200895,Data Center,19,"as making such an amazing match, was proved to have much the worst of"
SS1200896,Data Center,19,it had not shaken his determination of never settling till he could
SS1200897,Data Center,19,returned that he had never been there in his life. His coming to visit
SS1200898,Data Center,19,character; she was more equal to her situation than most girls would
SS1200899,Data Center,19,earnestly tried to prevent any body's eating it. He had been at the
SS1200943,Data Center,20,"succeeding early in life to a small independence, had become indisposed"
SS1200944,Data Center,20,"the bargain; for when his wife died, after a three years' marriage, he"
SS1200945,Data Center,20,"purchase Randalls, and the sale of Randalls was long looked forward to;"
SS1200946,Data Center,20,his father had been often talked of but never achieved.
SS1200947,Data Center,20,"have been, and had sense, and energy, and spirits that might be hoped"
SS1200948,Data Center,20,"pains of consulting Mr. Perry, the apothecary, on the subject. Mr. Perry"
SS1200992,Data Center,21,"for any of the more homely pursuits in which his brothers were engaged,"
SS1200993,Data Center,21,"was rather a poorer man than at first, and with a child to maintain."
SS1200994,Data Center,21,"but he had gone steadily on, with these objects in view, till they were"
SS1200995,Data Center,21,"Now, upon his father's marriage, it was very generally proposed, as a"
SS1200996,Data Center,21,would bear her well and happily through its little difficulties and
SS1200997,Data Center,21,"was an intelligent, gentlemanlike man, whose frequent visits were one"
SS1201041,Data Center,22,"and had satisfied an active, cheerful mind and social temper by entering"
SS1201042,Data Center,22,"From the expense of the child, however, he was soon relieved. The boy"
SS1201043,Data Center,22,"accomplished. He had made his fortune, bought his house, and obtained"
SS1201044,Data Center,22,"most proper attention, that the visit should take place. There was not a"
SS1201045,Data Center,22,privations. And then there was such comfort in the very easy distance of
SS1201046,Data Center,22,"of the comforts of Mr. Woodhouse's life; and upon being applied to, he"
SS1201090,Data Center,23,"into the militia of his county, then embodied."
SS1201091,Data Center,23,"had, with the additional softening claim of a lingering illness of his"
SS1201092,Data Center,23,"his wife; and was beginning a new period of existence, with every"
SS1201093,Data Center,23,"dissentient voice on the subject, either when Mrs. Perry drank tea with"
SS1201094,Data Center,23,"Randalls from Hartfield, so convenient for even solitary female walking,"
SS1201095,Data Center,23,could not but acknowledge (though it seemed rather against the bias
SS1201139,Data Center,24,Captain Weston was a general favourite; and when the chances of his
SS1201140,Data Center,24,"mother's, been the means of a sort of reconciliation; and Mr. and Mrs."
SS1201141,Data Center,24,probability of greater happiness than in any yet passed through. He had
SS1201142,Data Center,24,"Mrs. and Miss Bates, or when Mrs. and Miss Bates returned the visit. Now"
SS1201143,Data Center,24,"and in Mr. Weston's disposition and circumstances, which would make the"
SS1201144,Data Center,24,of inclination) that wedding-cake might certainly disagree with
SS1201188,Data Center,25,"military life had introduced him to Miss Churchill, of a great Yorkshire"
SS1201189,Data Center,25,"Churchill, having no children of their own, nor any other young creature"
SS1201190,Data Center,25,"never been an unhappy man; his own temper had secured him from that,"
SS1201191,Data Center,25,was the time for Mr. Frank Churchill to come among them; and the hope
SS1201192,Data Center,25,approaching season no hindrance to their spending half the evenings in
SS1201193,Data Center,25,"many--perhaps with most people, unless taken moderately. With such an"
SS1201237,Data Center,26,"family, and Miss Churchill fell in love with him, nobody was surprized,"
SS1201238,Data Center,26,"of equal kindred to care for, offered to take the whole charge of the"
SS1201239,Data Center,26,even in his first marriage; but his second must shew him how delightful
SS1201240,Data Center,26,strengthened when it was understood that he had written to his new
SS1201241,Data Center,26,the week together.
SS1201242,Data Center,26,"opinion, in confirmation of his own, Mr. Woodhouse hoped to influence"
SS1200041,Finance,1,Emma could not feel a doubt of having given Harriet's fancy a proper
SS1200042,Finance,1,"""Exactly so; that is what principally strikes me. So much superadded"
SS1200043,Finance,1,landscapes and flowers; and has not Mrs. Weston some inimitable
SS1200044,Finance,1,many might have done with so little labour as she would ever submit to.
SS1200045,Finance,1,drawn that I could not refuse; but there is no making children of three
SS1200046,Finance,1,"repeating, ""No husbands and wives in the case at present indeed, as"
SS1200047,Finance,1,"was possible. She could not respect his eye, but his love and his"
SS1200048,Finance,1,"""Do you think so?"" replied he. ""I cannot agree with you. It appears"
SS1200049,Finance,1,difficulties. It must be done directly; it must be done in London; the
SS1200050,Finance,1,"But it is his gratitude on Harriet's account."""
SS1200091,Finance,2,direction and raised the gratitude of her young vanity to a very good
SS1200092,Finance,2,"decision of character! Skilful has been the hand!"""
SS1200093,Finance,2,"figure-pieces in her drawing-room, at Randalls?"""
SS1200094,Finance,2,She played and sang;--and drew in almost every style; but steadiness
SS1200095,Finance,2,or four years old stand still you know; nor can it be very easy to take
SS1200096,Finance,2,"you observe. Exactly so. No husbands and wives,"" with so interesting a"
SS1200097,Finance,2,complaisance were unexceptionable.
SS1200098,Finance,2,to me a most perfect resemblance in every feature. I never saw such a
SS1200099,Finance,2,order must go through the hands of some intelligent person whose taste
SS1200140,Finance,3,"purpose, for she found her decidedly more sensible than before of Mr."
SS1200141,Finance,3,"""Great has been the pleasure, I am sure. I never met with a disposition"
SS1200142,Finance,3,"Yes, good man!--thought Emma--but what has all that to do with taking"
SS1200143,Finance,3,had always been wanting; and in nothing had she approached the degree of
SS1200144,Finance,3,"any likeness of them, beyond the air and complexion, unless they are"
SS1200145,Finance,3,"consciousness, that Emma began to consider whether she had not better"
SS1200146,Finance,3,The sitting was altogether very satisfactory; she was quite enough
SS1200147,Finance,3,"likeness in my life. We must allow for the effect of shade, you know."""
SS1200148,Finance,3,"could be depended on; and Isabella, the usual doer of all commissions,"
SS1200189,Finance,4,"Elton's being a remarkably handsome man, with most agreeable manners;"
SS1200190,Finance,4,"more truly amiable."""
SS1200191,Finance,4,likenesses? You know nothing of drawing. Don't pretend to be in raptures
SS1200192,Finance,4,"excellence which she would have been glad to command, and ought not to"
SS1200193,Finance,4,coarser featured than any of mama's children ever were. Here is my
SS1200194,Finance,4,"leave them together at once. But as she wanted to be drawing, the"
SS1200195,Finance,4,pleased with the first day's sketch to wish to go on. There was no want
SS1200196,Finance,4,"""You have made her too tall, Emma,"" said Mr. Knightley."
SS1200197,Finance,4,"must not be applied to, because it was December, and Mr. Woodhouse"
SS1200238,Finance,5,and as she had no hesitation in following up the assurance of his
SS1200239,Finance,5,"""I have no doubt of it."" And it was spoken with a sort of sighing"
SS1200240,Finance,5,"about mine. Keep your raptures for Harriet's face. ""Well, if you give me"
SS1200241,Finance,5,have failed of. She was not much deceived as to her own skill either
SS1200242,Finance,5,"sketch of the fourth, who was a baby. I took him as he was sleeping on"
SS1200243,Finance,5,declaration must wait a little longer.
SS1200244,Finance,5,"of likeness, she had been fortunate in the attitude, and as she meant"
SS1200245,Finance,5,"Emma knew that she had, but would not own it; and Mr. Elton warmly"
SS1200246,Finance,5,could not bear the idea of her stirring out of her house in the fogs of
SS1200287,Finance,6,"admiration by agreeable hints, she was soon pretty confident of creating"
SS1200288,Finance,6,"animation, which had a vast deal of the lover. She was not less pleased"
SS1200289,Finance,6,"such kind encouragement, Mr. Elton, I believe I shall try what I can do."
SS1200290,Finance,6,"as an artist or a musician, but she was not unwilling to have others"
SS1200291,Finance,6,"the sofa, and it is as strong a likeness of his cockade as you would"
SS1200292,Finance,6,She had soon fixed on the size and sort of portrait. It was to be
SS1200293,Finance,6,"to throw in a little improvement to the figure, to give a little more"
SS1200294,Finance,6,"added,"
SS1200295,Finance,6,"December. But no sooner was the distress known to Mr. Elton, than it"
SS1200336,Finance,7,"as much liking on Harriet's side, as there could be any occasion for."
SS1200337,Finance,7,"another day with the manner in which he seconded a sudden wish of hers,"
SS1200338,Finance,7,"Harriet's features are very delicate, which makes a likeness difficult;"
SS1200339,Finance,7,"deceived, or sorry to know her reputation for accomplishment often"
SS1200340,Finance,7,wish to see. He had nestled down his head most conveniently. That's very
SS1200341,Finance,7,"a whole-length in water-colours, like Mr. John Knightley's, and was"
SS1200342,Finance,7,"height, and considerably more elegance, she had great confidence of"
SS1200343,Finance,7,"""Oh no! certainly not too tall; not in the least too tall. Consider, she"
SS1200344,Finance,7,"was removed. His gallantry was always on the alert. ""Might he be trusted"
SS1200385,Finance,8,She was quite convinced of Mr. Elton's being in the fairest way of
SS1200386,Finance,8,to have Harriet's picture.
SS1200387,Finance,8,and yet there is a peculiarity in the shape of the eye and the lines
SS1200388,Finance,8,higher than it deserved.
SS1200389,Finance,8,like. I am rather proud of little George. The corner of the sofa is very
SS1200390,Finance,8,"destined, if she could please herself, to hold a very honourable station"
SS1200391,Finance,8,"its being in every way a pretty drawing at last, and of its filling"
SS1200392,Finance,8,is sitting down--which naturally presents a different--which in short
SS1200393,Finance,8,"with the commission, what infinite pleasure should he have in executing"
SS1200434,Finance,9,"falling in love, if not in love already. She had no scruple with regard"
SS1200435,Finance,9,"""Did you ever have your likeness taken, Harriet?"" said she: ""did you"
SS1200436,Finance,9,"about the mouth which one ought to catch."""
SS1200437,Finance,9,"There was merit in every drawing--in the least finished, perhaps the"
SS1200438,Finance,9,"good. Then here is my last,""--unclosing a pretty sketch of a gentleman"
SS1200439,Finance,9,over the mantelpiece.
SS1200440,Finance,9,its destined place with credit to them both--a standing memorial of the
SS1200441,Finance,9,"gives exactly the idea--and the proportions must be preserved, you know."
SS1200442,Finance,9,it! he could ride to London at any time. It was impossible to say how
SS1200483,Finance,10,"to him. He talked of Harriet, and praised her so warmly, that she could"
SS1200484,Finance,10,"ever sit for your picture?"""
SS1200485,Finance,10,"""Exactly so--The shape of the eye and the lines about the mouth--I have"
SS1200486,Finance,10,"most; her style was spirited; but had there been much less, or had there"
SS1200487,Finance,10,"in small size, whole-length--""my last and my best--my brother, Mr. John"
SS1200488,Finance,10,"The sitting began; and Harriet, smiling and blushing, and afraid of not"
SS1200489,Finance,10,"beauty of one, the skill of the other, and the friendship of both;"
SS1200490,Finance,10,"Proportions, fore-shortening.--Oh no! it gives one exactly the idea of"
SS1200491,Finance,10,"much he should be gratified by being employed on such an errand."""
SS1200532,Finance,11,not suppose any thing wanting which a little time would not add. His
SS1200533,Finance,11,"Harriet was on the point of leaving the room, and only stopt to say,"
SS1200534,Finance,11,"not a doubt of your success. Pray, pray attempt it. As you will do it,"
SS1200535,Finance,11,"been ten times more, the delight and admiration of her two companions"
SS1200536,Finance,11,"Knightley.--This did not want much of being finished, when I put it away"
SS1200537,Finance,11,"keeping her attitude and countenance, presented a very sweet mixture of"
SS1200538,Finance,11,with as many other agreeable associations as Mr. Elton's very promising
SS1200539,Finance,11,"such a height as Miss Smith's. Exactly so indeed!"""
SS1200540,Finance,11,"""He was too good!--she could not endure the thought!--she would not give"
SS1200581,Finance,12,"perception of the striking improvement of Harriet's manner, since her"
SS1200582,Finance,12,"with a very interesting naivete,"
SS1200583,Finance,12,"it will indeed, to use your own words, be an exquisite possession."""
SS1200584,Finance,12,would have been the same. They were both in ecstasies. A likeness
SS1200585,Finance,12,"in a pet, and vowed I would never take another likeness. I could not"
SS1200586,Finance,12,youthful expression to the steady eyes of the artist. But there was no
SS1200587,Finance,12,attachment was likely to add.
SS1200588,Finance,12,"""It is very pretty,"" said Mr. Woodhouse. ""So prettily done! Just as your"
SS1200589,Finance,12,"him such a troublesome office for the world,""--brought on the desired"
SS1200630,Finance,13,"introduction at Hartfield, was not one of the least agreeable proofs of"
SS1200631,Finance,13,"""Oh! dear, no, never."""
SS1200632,Finance,13,"""But I am afraid, Mr. Elton, Harriet will not like to sit. She thinks"
SS1200633,Finance,13,pleases every body; and Miss Woodhouse's performances must be capital.
SS1200634,Finance,13,"help being provoked; for after all my pains, and when I had really made"
SS1200635,Finance,13,"doing any thing, with Mr. Elton fidgeting behind her and watching every"
SS1200636,Finance,13,"Harriet was to sit again the next day; and Mr. Elton, just as he ought,"
SS1200637,Finance,13,"drawings always are, my dear. I do not know any body who draws so well"
SS1200638,Finance,13,"repetition of entreaties and assurances,--and a very few minutes settled"
SS1200679,Finance,14,his growing attachment.
SS1200680,Finance,14,"No sooner was she out of sight, than Emma exclaimed,"
SS1200681,Finance,14,so little of her own beauty. Did not you observe her manner of answering
SS1200682,Finance,14,"""No great variety of faces for you,"" said Emma. ""I had only my own"
SS1200683,Finance,14,a very good likeness of it--(Mrs. Weston and I were quite agreed in
SS1200684,Finance,14,touch. She gave him credit for stationing himself where he might gaze
SS1200685,Finance,14,entreated for the permission of attending and reading to them again.
SS1200686,Finance,14,"as you do. The only thing I do not thoroughly like is, that she seems"
SS1200687,Finance,14,the business.
SS1200728,Finance,15,"""You have given Miss Smith all that she required,"" said he; ""you have"
SS1200729,Finance,15,"""What an exquisite possession a good picture of her would be! I would"
SS1200730,Finance,15,"me? How completely it meant, 'why should my picture be drawn?'"""
SS1200731,Finance,15,family to study from. There is my father--another of my father--but the
SS1200732,Finance,15,thinking it _very_ like)--only too handsome--too flattering--but
SS1200733,Finance,15,and gaze again without offence; but was really obliged to put an end to
SS1200734,Finance,15,"""By all means. We shall be most happy to consider you as one of the"
SS1200735,Finance,15,"to be sitting out of doors, with only a little shawl over her"
SS1200736,Finance,15,"Mr. Elton was to take the drawing to London, chuse the frame, and give"
SS1200777,Finance,16,made her graceful and easy. She was a beautiful creature when she
SS1200778,Finance,16,give any money for it. I almost long to attempt her likeness myself.
SS1200779,Finance,16,"""Oh! yes, I observed it, I assure you. It was not lost on me. But still"
SS1200780,Finance,16,"idea of sitting for his picture made him so nervous, that I could only"
SS1200781,Finance,16,"that was a fault on the right side""--after all this, came poor dear"
SS1200782,Finance,16,"it, and request him to place himself elsewhere. It then occurred to her"
SS1200783,Finance,16,"party."""
SS1200784,Finance,16,"shoulders--and it makes one think she must catch cold."""
SS1200785,Finance,16,the directions; and Emma thought she could so pack it as to ensure its
SS1200826,Finance,17,"came to you, but, in my opinion, the attractions you have added are"
SS1200827,Finance,17,"You do not know it I dare say, but two or three years ago I had a great"
SS1200828,Finance,17,"I cannot imagine she would not be persuaded."""
SS1200829,Finance,17,take him by stealth; neither of them very like therefore. Mrs. Weston
SS1200830,Finance,17,"Isabella's cold approbation of--""Yes, it was a little like--but to be"
SS1200831,Finance,17,to employ him in reading.
SS1200832,Finance,17,"The same civilities and courtesies, the same success and satisfaction,"
SS1200833,Finance,17,"""But, my dear papa, it is supposed to be summer; a warm day in summer."
SS1200834,Finance,17,"safety without much incommoding him, while he seemed mostly fearful of"
SS1200875,Finance,18,"infinitely superior to what she received from nature."""
SS1200876,Finance,18,"passion for taking likenesses, and attempted several of my friends, and"
SS1200877,Finance,18,"Harriet was soon back again, and the proposal almost immediately made;"
SS1200878,Finance,18,"again, and again, and again, you see. Dear Mrs. Weston! always my"
SS1200879,Finance,18,sure it did not do him justice. We had had a great deal of trouble
SS1200880,Finance,18,"""If he would be so good as to read to them, it would be a kindness"
SS1200881,Finance,18,"took place on the morrow, and accompanied the whole progress of the"
SS1200882,Finance,18,"Look at the tree."""
SS1200883,Finance,18,not being incommoded enough.
SS1200924,Finance,19,"""I am glad you think I have been useful to her; but Harriet only wanted"
SS1200925,Finance,19,was thought to have a tolerable eye in general. But from one cause or
SS1200926,Finance,19,and she had no scruples which could stand many minutes against the
SS1200927,Finance,19,kindest friend on every occasion. She would sit whenever I asked her.
SS1200928,Finance,19,in persuading him to sit at all. It was made a great favour of; and
SS1200929,Finance,19,"indeed! It would amuse away the difficulties of her part, and lessen the"
SS1200930,Finance,19,"picture, which was rapid and happy. Every body who saw it was pleased,"
SS1200931,Finance,19,"""But it is never safe to sit out of doors, my dear."""
SS1200932,Finance,19,"""What a precious deposit!"" said he with a tender sigh, as he received"
SS1200973,Finance,20,"drawing out, and receiving a few, very few hints. She had all the"
SS1200974,Finance,20,"another, I gave it up in disgust. But really, I could almost venture,"
SS1200975,Finance,20,"earnest pressing of both the others. Emma wished to go to work directly,"
SS1200976,Finance,20,There is my sister; and really quite her own little elegant figure!--and
SS1200977,Finance,20,altogether it was more than I could bear; and so I never would finish
SS1200978,Finance,20,"irksomeness of Miss Smith's."""
SS1200979,Finance,20,"but Mr. Elton was in continual raptures, and defended it through every"
SS1200980,Finance,20,"""You, sir, may say any thing,"" cried Mr. Elton, ""but I must confess that"
SS1200981,Finance,20,it.
SS1201022,Finance,21,natural grace of sweetness of temper and artlessness in herself. I have
SS1201023,Finance,21,if Harriet would sit to me. It would be such a delight to have her
SS1201024,Finance,21,and therefore produced the portfolio containing her various attempts at
SS1201025,Finance,21,"the face not unlike. I should have made a good likeness of her, if she"
SS1201026,Finance,21,"it, to have it apologised over as an unfavourable likeness, to every"
SS1201027,Finance,21,"Mr. Elton was only too happy. Harriet listened, and Emma drew in peace."
SS1201028,Finance,21,criticism.
SS1201029,Finance,21,"I regard it as a most happy thought, the placing of Miss Smith out of"
SS1201030,Finance,21,"""This man is almost too gallant to be in love,"" thought Emma. ""I should"
SS1201071,Finance,22,"done very little."""
SS1201072,Finance,22,"picture!"""
SS1201073,Finance,22,"portraits, for not one of them had ever been finished, that they might"
SS1201074,Finance,22,"would have sat longer, but she was in such a hurry to have me draw"
SS1201075,Finance,22,"morning visitor in Brunswick Square;--and, as I said, I did then"
SS1201076,Finance,22,She must allow him to be still frequently coming to look; any thing less
SS1201077,Finance,22,"""Miss Woodhouse has given her friend the only beauty she"
SS1201078,Finance,22,doors; and the tree is touched with such inimitable spirit! Any other
SS1201079,Finance,22,"say so, but that I suppose there may be a hundred different ways of"
SS1201120,Finance,23,"""If it were admissible to contradict a lady,"" said the gallant Mr."
SS1201121,Finance,23,"""Let me entreat you,"" cried Mr. Elton; ""it would indeed be a delight!"
SS1201122,Finance,23,decide together on the best size for Harriet. Her many beginnings were
SS1201123,Finance,23,"her four children that she would not be quiet. Then, here come all my"
SS1201124,Finance,23,"forswear ever drawing any body again. But for Harriet's sake, or rather"
SS1201125,Finance,23,would certainly have been too little in a lover; and he was ready at the
SS1201126,Finance,23,"wanted,""--observed Mrs. Weston to him--not in the least suspecting that"
SS1201127,Finance,23,situation would have been much less in character. The naivete of Miss
SS1201128,Finance,23,"being in love. He is an excellent young man, and will suit Harriet"
SS1201169,Finance,24,Elton--
SS1201170,Finance,24,"Let me entreat you, Miss Woodhouse, to exercise so charming a talent"
SS1201171,Finance,24,"displayed. Miniatures, half-lengths, whole-lengths, pencil, crayon, and"
SS1201172,Finance,24,"attempts at three of those four children;--there they are, Henry and"
SS1201173,Finance,24,"for my own, and as there are no husbands and wives in the case _at_"
SS1201174,Finance,24,"smallest intermission of the pencil, to jump up and see the progress,"
SS1201175,Finance,24,"she was addressing a lover.--""The expression of the eye is most correct,"
SS1201176,Finance,24,"Smith's manners--and altogether--Oh, it is most admirable! I cannot keep"
SS1201177,Finance,24,"exactly; it will be an 'Exactly so,' as he says himself; but he does"
SS1201218,Finance,25,"""I have perhaps given her a little more decision of character, have"
SS1201219,Finance,25,in favour of your friend. I know what your drawings are. How could
SS1201220,Finance,25,water-colours had been all tried in turn. She had always wanted to do
SS1201221,Finance,25,"John and Bella, from one end of the sheet to the other, and any one of"
SS1201222,Finance,25,"_present_, I will break my resolution now."""
SS1201223,Finance,25,"and be charmed.--There was no being displeased with such an encourager,"
SS1201224,Finance,25,but Miss Smith has not those eyebrows and eyelashes. It is the fault of
SS1201225,Finance,25,"my eyes from it. I never saw such a likeness."""
SS1201226,Finance,25,"sigh and languish, and study for compliments rather more than I could"
SS1201267,Finance,26,"taught her to think on points which had not fallen in her way before."""
SS1201268,Finance,26,you suppose me ignorant? Is not this room rich in specimens of your
SS1201269,Finance,26,"every thing, and had made more progress both in drawing and music than"
SS1201270,Finance,26,them might do for any one of the rest. She was so eager to have them
SS1201271,Finance,26,"Mr. Elton seemed very properly struck and delighted by the idea, and was"
SS1201272,Finance,26,for his admiration made him discern a likeness almost before it
SS1201273,Finance,26,"her face that she has them not."""
SS1201274,Finance,26,The next thing wanted was to get the picture framed; and here were a few
SS1201275,Finance,26,endure as a principal. I come in for a pretty good share as a second.
SS1200035,Human Resources,1,"Knightley."""
SS1200036,Human Resources,1,affirm that Harriet Smith will do nothing.--You never could persuade her
SS1200037,Human Resources,1,"should certainly have named Miss Taylor."""
SS1200038,Human Resources,1,"""I either depend more upon Emma's good sense than you do, or am more"
SS1200039,Human Resources,1,"sister, or a truer friend? No, no; she has qualities which may be"
SS1200040,Human Resources,1,"her sister."""
SS1200085,Human Resources,2,"""Perhaps you think I am come on purpose to quarrel with you, knowing"
SS1200086,Human Resources,2,"to read half so much as you wished.--You know you could not."""
SS1200087,Human Resources,2,"""Thank you. There will be very little merit in making a good wife to"
SS1200088,Human Resources,2,anxious for her present comfort; for I cannot lament the acquaintance.
SS1200089,Human Resources,2,trusted; she will never lead any one really wrong; she will make no
SS1200090,Human Resources,2,"""Be satisfied,"" said he, ""I will not raise any outcry. I will keep my"
