Thread,Post,Text
Friends at Work,10,"I hear buddy and I picture someone that has had way too much caffeine stopping by my office constantly asking if things are good, chasing me down as I walk to my car to invite me to lunch and overall just being a pest. (Leslie on Parks and Rec comes to mind)

When I do orientation I cover who a person should go to for XYZ and take them on a tour and introduce them to any key players they will need to know.  I let them know that if they have any questions or need anything in the first few weeks to reach out to me.  From there I hand them off to the manager and it is up to them to get the employee acclimated to the team.

Not sure what else a person could need done upfront."
Friends at Work,11,"It is absolutely not your job to be match maker and get your employees friends. However, I think it is part of my job to make sure people feel welcome at work. With this economy its especially important to do so to reduce turnover.  The others have made some good points. Maybe you should implement a mentor program. So new hires are paired with a mentor to help them navigate their new position. If your employees tend to work in isolated areas where they don't get much social interaction perhaps do potlucks or events to get everyone to mingle. But you need to judge your culture and see if that is something that your employees would enjoy or would hate."
Friends at Work,12,"I think HR needs to help facilitate a new employees first few weeks of employment to make sure they are comfortable in their job, they understand company policies and culture and are generally satisfied with everything. This may include asking how their coworkers are getting along and treating them. It's really sort of a temperature check. I find this makes an employee feel more welcome and a reminder that HR is there. Past that, it's really up to the coworkers within the department to try to make the employee feel welcome and get a team environment going. Perhaps you could suggest a team lunch or after hours event to get them all on the same page. I don't think a forced outing would be advisable because it will likely be more uncomfortable for everyone if they feel like they have to go because the ""new guy"" isn't happy and may lead to more resentment. Other than that, you can't really force people to be friends, get along for work issues and act life professional yes but be friends no. No matter how much it may seem like it, we are not kindergarten teachers and there is no ""buddy bench"" at work."
Friends at Work,13,"?No, you are not."
Friends at Work,14,"Is this my responsibility? We have a very comfortable office, great view, very modern, nice equipment, we all have enough to do all day, am I responsible for making sure everyone has friends at work? It's quiet because her coworkers are mostly doing coding and they are concentrating.

"
Friends at Work,15,"No.  Just no.

And for those touting that it's HR responsibility to help people make friends at work....  HR is not, nor should it ever be the ""cruise director"" of the workplace.  We can help enable an inclusive friendly culture.  But an inclusive, friendly culture is the responsibility of every single employee - especially anyone in a leadership or management position.

This is not pre-school.  Adults in the workplace should have a rough idea of how to introduce themselves to others and start a conversation.  And if a company wants a buddy system for new hires - that task is the manager's responsibility, not HR.

It's not isolationist.  It's about expecting leaders to lead and all employees to behave like grownups.

Moon Willow

 -- If you treat employees like adults, they'll act like adults."
Friends at Work,16,"No this is not your responsibility. It's also normal to have a quiet office. A lot of people enjoy the ""quiet"" to focus on work.

I would thank him for his concern but ask him to provide you with specific examples that show the employee is unhappy."
Friends at Work,17,"Typically, management complains about people socializing too much at work.
This person is concerned employees are working independently.

Crazy.  Friendships (lunch buddies) will develop over time if that is what the employees are interested in.

Me?  I'd rather be left alone to get my job completed and no, I have no interest in having a lunch buddy.

Perhaps she feels the same way as well."
Friends at Work,18,"?It is your responsibility if you are concerned about employee engagement. One of the 12 engagement factor questions is ""I have a friend at work."""
Friends at Work,19,"I suggest a different perspective for the issue raised by the lead web developer - rather than the perspective/question ""is it my (HR's) responsibility?"", I suggest engaging the lead web developer in defining the organizational/business problem first, then collaborate on potential solutions/improvements.

If the lead web developer is concerned that the new UX designer is unhappy, what led him to that conclusion?  What has he observed or heard from the new employee that he is characterizing as ""unhappy""?  If the new employee specifically mentioned that she is unhappy with the work environment because it's too quiet, did the lead web developer engage the new employee in some ideas or suggestions to address the ""too quiet"" environment?

That said, the lead web developer's ideas for having people to talk to, go to lunch with may have merit - not only for new hires but the whole team.  I don't have experience in web development, but in my experience in a high-tech industry, taking small breaks for informal chats, and chatting with team members on a work-related topic is very helpful for problem-solving, innovations, and quickly sharing lessons learned/best practices.

So, I don't see this a a sole HR responsibility, but an opportunity for HR to partner.  Hope it works out!"
Friends at Work,20,"OP here, thank you all for your helpful responses, I appreciate it!"
Friends at Work,21,"I'll keep it simple:

HELL TO THE NO.

You are not the buddy committee."
Friends at Work,22,"""HR should be promoting an inclusive culture, not a 'I don't need friends at work!' mentality."" Ditto! This does not mean HR has to ensure that everyone has a best friend at work.

The buddy system only works when there are a sufficient number of competent leads that are not management and who volunteer for this task, who answer questions and show new folks around their first few weeks or months. But they don't have to remain hooked at the hip indefinitely. Usually the ""buddy"" gets a tiny bonus or stipend for doing this.

Every organization has a different culture and environment, usually rather dependent upon the industry. Regardless, HR is not responsible for finding everyone a bestie. From the description I read from OP I'd suggest regular get together lunches for everyone in the department (monthly perhaps, certainly more often than merely when a new person joins the team) to foster some camaraderie but not disrupt the actual work. This might placate the worrying lead web developer that you are taking appropriate steps and their entire team might benefit. Who knows, you might start a positive trend in your company. Best of luck here!"
